ID	WT.DMM.1wkvsWT.Sham.1wk_logFC	WT.DMM.1wkvsWT.Sham.1wk_padjFilter
Pdpr	0.0447725497944453	0.903897791936851
Dach2	-0.288457961959857	NA
Cdkn1b	0.153459729686264	0.561627862370779
Spin2c	0.416031681496343	0.407148673475699
Slc20a1	-0.047989455844878	0.907942859252539
Ddx47	0.42845500947129	0.431535849296881
Slc19a1	-0.165024175114626	0.53204547789845
Dnah2	-0.290330347391805	0.063414380508109
Mcts2	0.222619544763228	0.553305514191938
Magt1	0.596529072429775	0.0712845960306895
Lipo3	0.161035123858339	0.441247625315225
Olfr584	0.00405225338760927	0.99086436039916
Htra1	0.93838465377293	0.389212258768855
Ms4a4c	-0.511693153444149	0.199619104673604
B2m	0.477965574853395	0.321746009804383
Olfr1281	-0.0966436325514922	NA
Nlrp12	-0.472860164641776	0.0458427300335643
Abca13	-0.213517753486934	NA
Pknox2	-0.0173520849932219	0.93282011152425
Homer2	0.023129427759192	0.901363223131902
Hmox1	-0.0251901773428762	0.94774766891987
March11	-0.0524226109692427	0.789773893869122
Adora1	-1.09106397210829	0.00307038993917336
Rpl23	0.00879054731687669	0.983316551178252
Pdcd11	-0.154359779123271	0.247555935850154
Banf2	-0.374271455643794	0.28549844090617
Flnb	-0.156676605255426	0.373746017254569
Klc3	-1.01957687026712	0.00787797244933095
Cdh10	0.0304953242162438	0.878413456659936
Rag2	0.3983138790595	0.295416049485087
B3gat2	-0.14220978587699	NA
Gm11627	-0.0852146709467831	0.771575621086292
Dnah17	-0.0441561783902143	0.853798935930044
Epc2	-0.0249054758635476	0.944603014268274
Extl3	-0.5773480354407	0.0574009973901744
Rims2	-0.0455130227345564	0.823293706194444
Chpf	0.136692136530142	0.637056810289984
Jrk	-0.175452883402766	0.551687423889039
Ttc17	0.296434627456396	0.219382932642751
Nkx1-2	-0.363438880405741	0.00793166463406706
Ogfrl1	-1.09507398832693	0.0172817206232952
Tax1bp1	0.324310051902651	0.30936185779882
Sec14l3	-0.0428479654152243	0.748610357272027
Ccdc172	-0.11965566511261	NA
Mcf2l	-0.0299296587846023	0.902966485230356
Dmpk	0.274144778740145	0.211409107777139
Zdbf2	-0.136165798917544	0.394218156471619
Il22ra1	-0.189296952452107	0.372828192112385
P2rx7	-0.878250652391402	0.0142324400675857
Amotl2	1.83000538632678	0.000341577675562899
Musk	-0.189285728742769	NA
Lamp1	0.791900764498445	0.0259686478732295
Btbd6	-0.797620519614369	0.0189934466013868
Ablim2	-0.271340910791626	0.193657584921583
Crygd	-0.350011870284811	0.44466941522659
Fam214b	0.147334856252372	0.480885707679961
Aplf	0.154408480293055	0.699804743737763
Hsd17b13	0.0827160314596996	0.70965804971305
1700048O20Rik	-0.329084574045347	0.275966191633963
Nlrp5-ps	0.321453853002067	0.308405638304099
Sin3a	-0.21726023769825	0.662474937265662
Ifi209	-0.116332407120714	0.527430808781004
Ptprk	0.366368933840139	0.124824699013259
Rab3c	-0.137570282308844	NA
Atg4a	0.395958752865536	0.298386309190927
Ccpg1	0.72929626966002	0.0309617177001945
4930406M16Rik	-0.0620345702454175	NA
Prr15	0.324542766969423	0.451589086987011
Fam234b	-0.0807490556636463	0.771086127685239
Ankrd12	-0.150029276839149	0.627626713913829
Acsl6	0.0919003044701798	NA
Focad	-0.258055207564316	0.215930932539899
Pdlim4	0.527267281508706	0.177980736135137
Alx1	-0.0682543999961004	NA
B230369F24Rik	0.309139183852236	0.260743019885209
Strn4	-0.291210732596237	0.171989076157658
Cramp1l	-0.118864408193268	0.49947208402043
Gm8672	-0.41074898746672	NA
Hacd4	-0.799229206439633	0.0709641684686654
Abca14	-0.0119867072007385	NA
Ap4m1	-0.0689414424926621	0.890048463814461
Cul7	-0.26579330717414	0.109033714689002
Zap70	-0.221014206996772	0.312960073897236
Coro1c	-0.524006097230816	0.0334313204532002
Cox4i1	-0.136395850914592	0.615124095052175
Bsn	-0.456217679485417	0.00983187608444857
Zhx1	0.281502383446196	0.182954526347412
Lgsn	-0.0437783755607105	0.903672685624951
Tcf20	-0.295446730224918	0.0685287153749188
Mfsd1	0.278672335692561	0.438262675026619
Jup	-0.412349204231714	0.264129515057082
Hba-a1	0.749766414125707	0.454686575918028
Rgs22	0.0270637163266177	NA
Gdf7	-0.794991560890013	0.0101047697389886
1700093K21Rik	-0.0228359639184545	0.929515268047155
Reln	0.0475770590729847	0.916408571984986
Gabra4	0.198844686489632	0.722274480085641
Npat	-0.170792224485922	0.577107999948076
Aph1b	-0.561435226034725	0.0656809933989688
Senp7	0.0515577328321331	0.841229341349245
Olfr339	-0.539908335194612	0.0581217449689953
Vwc2	-0.111154367338289	0.609728942201321
Triap1	0.448735222577958	0.144460176236756
Arf1	1.3211015272935	0.0502054990054228
Gm36723	-0.460953764765103	0.0120601995955694
Rbbp8	-0.0463277849260973	0.872938652168255
A330076H08Rik	0.1372036662846	0.667246871199952
Tbxa2r	-0.751372126373535	0.0434459492956321
Zfp628	-0.454776760776255	0.153563190480451
Usp24	0.520331845613566	0.0231346910503872
Tmem121b	-0.00045620103186125	NA
Ephx1	0.713950941757097	0.354114774689422
Prmt7	-0.28953180051566	0.232240687548606
Ermard	0.107942327079746	0.687520777360538
Rac1	0.864634447548819	0.0129171471556936
Gpbp1	0.626488309733675	0.00149599461798398
Ppp3cb	0.183260166233083	0.30015885900158
Btf3l4	0.401025040047796	0.204561200573299
Gnaq	0.0315841606035296	0.911229488688494
Rbfox1	1.59195230135129	0.0375404970888316
Hdhd3	-0.203162886303773	0.584902911508051
Rpl7a	0.00181618760363199	0.997082372977916
Rflna	0.723613950175733	0.0630659848120045
Dcdc2c	-0.166915684212164	NA
Htr2c	-0.243386591345927	NA
Il6	0.0976289186257073	NA
Vps18	-0.243786958294821	0.139303262032184
Slc25a12	-0.163736989358394	0.514103603504093
Atp1a3	-0.390968044504184	0.142349733121472
Casp12	-0.896326671984856	0.0582712727152816
