gene_name	Injured_C57BL_6_1_week_post_injuryvsUninjured_C57BL_6_1_week_post_injury_log2FoldChange	Injured_C57BL_6_1_week_post_injuryvsUninjured_C57BL_6_1_week_post_injury_padj
Adprh	0.0178058047819126	1
Tmem39a	-0.00812584517725431	1
Timmdc1	0.000138862166812953	1
Pla1a	0.0992049439803872	1
Mcm2	0.274446951662967	1
Tpra1	0.278438007884585	1
Nab1	0.116323475077583	1
Adgre5	0.118138268395841	1
Il17ra	0.115662316157567	1
Lamb1	-0.280790953977897	1
Kcnn1	-0.0998068120426221	1
Arrdc2	0.0773397574665416	1
Ppp1r17	0	NA
Cd36	0.0127040284479949	1
Map2k7	-0.0594112241261178	1
Timm44	0.121714605429596	1
Ap2a2	0.0469427220597404	1
Pnkp	0.059215405840857	1
Med25	0.00117750292672754	1
Bcam	-0.00337603800793067	1
Clptm1	0.376652414728471	0.694058299175903
Relb	0.00809194020912227	1
Tomm40	0.214497204438052	1
Apoe	0.107123557318883	1
Apoc2	0.217804830083008	1
Hbp1	-0.023949549990377	1
Prkar2b	0.207274919924147	1
Cdkn1b	0.113836389373273	1
Klf4	-0.00590235387572585	1
Ap1m1	0.0215028626208472	1
Rab8a	0.143255586026411	1
Hmgn2	0.157936768110275	1
Fam32a	0.0916657479308955	1
Elf3	-0.0999020242309762	1
Cyp2c29	0	1
Stard3nl	0.0620579556100005	1
Stk11	0.169394615639959	1
Efna2	-0.0806684672379977	1
Atp5d	0.0330343166639236	1
Ppp5c	0.0610389187034652	1
Cdk12	-0.0430946241634192	1
Lipe	-0.0935191432962972	1
Pafah1b2	-0.033092391795474	1
Tbc1d8	0.137236708039162	1
Cnot11	0.030928032601151	1
Slc2a3	-0.048219596303353	1
Foxj2	0.0145778876790958	1
Sri	0.153674893224268	1
Dgcr2	0.234211144729563	0.964078885356795
Irf3	0.00262511157812753	1
Bcl2l12	0.162117167714555	1
Zfp959	-0.0134093145569872	1
Mpnd	0.188247405330244	1
Sh3gl1	0.00511559914670055	1
Ebi3	0.247378783220812	1
Yju2	0.094016250790393	1
Ranbp2	-0.0195443950766252	1
Edar	-0.276467885449093	1
Grk5	-0.0611770387931627	1
Dvl3	-0.0116631793304533	1
Abcf3	-0.15181199838268	1
Eif2b5	0.09171279964414	1
Cyth2	0.13885031728702	1
Sult2b1	0.154541026421282	1
Car11	-0.0959572753003024	1
Dlgap1	0.028698698610096	1
Plag1	0.263608647361493	1
Hck	0.0975401310922586	1
Mrpl4	0.01822836147581	1
Keap1	-0.00362512749402747	1
Ap1m2	0.498324431555078	1
Glg1	-0.190568643453257	0.964078885356795
Atp8b3	0.00935497350309488	1
Btbd2	-0.0224941748793562	1
Csnk1g2	-0.0205308368120591	1
Abhd17a	0.156952818410991	1
Mob3a	0.0482663488238974	1
Cacnb3	0.0111150144796089	1
Ccdc65	-0.940654468218785	1
Fkbp11	-0.181587018932614	1
Ddx23	0.0440686348017646	1
Pld3	0.00861950397005319	1
Grik5	0.186512002433964	1
Cd79a	0.198188055708528	1
Rabac1	-0.0894856303662731	1
Etv3	-0.00141105763443112	1
Prkcsh	0.0265591320704263	1
Elavl3	-0.492109926895807	1
Rab3b	-0.0480796598870188	1
St8sia6	-0.0393655172619132	1
Fcgrt	-0.0507459582824146	1
Nosip	0.165178769784636	1
Pih1d1	-0.104115071535559	1
Rps11	0.0578528393577373	1
Supt5	0.00709702104198278	1
Dll3	0.025813265927583	1
Paf1	0.0858673009056181	1
Timm50	0.0707062519757378	1
Med29	0.0635823842570825	1
Bicd1	0.112684952776622	1
Ncstn	0.0799433747536053	1
Pex19	-0.101325361426322	1
Phyhip	0.16103222900698	1
Crhr2	-0.273146834860911	1
Inmt	-0.147934235785098	1
Cyp4f18	0.140467473398239	1
Impdh1	-0.0429969041699349	1
Psg18	NA	NA
Dusp3	-0.126990018816222	1
Prodh	-0.253822538639205	1
Ess2	0.0967007651746706	1
Slc25a1	-0.0376538280944434	1
Dgcr6	0.00235073426602384	1
Ddr1	0.039223332972764	1
Ier3	0.0226529141494245	1
Fosb	-0.291009987235866	1
Klc4	0.0980779237414435	1
Ercc1	-0.00042897779529183	1
Cyp17a1	-0.141435766558804	1
As3mt	-0.0216611355359521	1
Homer3	0.13833326409897	1
Crtc1	0.0746543978466012	1
Rnf215	-0.0452607791352214	1
Sec14l2	0.362652770734766	0.593539270528187
Aven	0.0172620701528802	1
Cp	0.144666867392485	1
Crot	-0.0126142088681558	1
Rps6ka1	0.0391488566971401	1
Calb2	-1.18899797639976	0.988673995500294
Snrnp200	0.132526907336094	1
Ciao1	0.107980121479923	1
Has1	-0.733852862762	1
Taf6l	0.154910346188388	1
Insig2	-0.241409084550969	1
Kpna6	-0.0776340844785089	1
Man1a	0.0371235731302301	1
Itpkc	0.0750426604931448	1
Coq8b	-0.100588555290399	1
Brd8	0.100817513686932	1
Kif20a	0.14801882190068	1
Farsa	0.153677955782277	1
Gcdh	-0.0183804157228838	1
Mast2	0.0495155294265977	1
Dnase2a	0.128477368312524	1
Rad23a	0.163182708370447	1
Calr	0.0217913538344377	1
Syce2	0.187095079579892	1
Nfat5	-0.112539331479878	1
Nob1	-0.187199713704909	1
Nqo1	0.171676039537272	1
Ppfia3	-0.561030647966786	1
Gys1	-0.130677945254132	1
Ruvbl2	0.203009999423287	1
Lin7b	0.0390477531859197	1
Bax	-0.0478860990727927	1
Il7r	0.082134945506651	1
Tfam	0.0396006187349444	1
Zfp81	0.00534981450411842	1
Efnb3	-0.0984453787396473	1
Mmd	0.0666114294218851	1
Hlf	0.238286163321429	1
Fam162a	0.0189398489111557	1
Rpl8	0.112854701018808	1
Grm3	0	NA
Ssbp2	-0.075418863445957	1
Fancl	0.18586643215252	1
Brinp2	0.0817343782913185	1
Gstm5	-0.0422600268195157	1
Gstm7	0.206404667963315	1
Gstm3	0.0482330646712305	1
Stat3	-0.0357005026665617	1
Stat5a	-0.0478045836274795	1
Cavin1	-0.104584000653404	1
Map3k11	0.199125077029953	1
Akt2	-0.064244519998115	1
Dnaja3	0.0271763375647329	1
Hmox2	0.0077144037501754	1
Cdip1	-0.012502489578693	1
Map3k20	-0.161495560766507	1
Cwc15	0.0521946392422166	1
Col5a3	-0.392827196662233	1
Dnmt1	0.131447557713055	1
Ppan	0.0249646646773883	1
Angptl2	-0.398860386068854	1
Cacna1e	0.0492108181583234	1
Cacna1b	-0.209876099969811	1
Trmt10a	0.0123162654927858	1
Etv1	-0.173266216895291	1
Kifc2	-0.0762405067982145	1
Psap	0.0678547469769658	1
Ikbkg	-0.106415049428176	1
Pax2	0	1
Wars2	-0.317457409333577	1
Atn1	0.133390648319127	1
Phb2	0.0033618583093722	1
Ptpn6	0.234192654959563	1
Eno2	-0.0777742137680292	1
Emg1	-0.110548806073218	1
Lpcat3	0.332891752009991	0.177245289104748
Atp6v1f	-0.0128887876331086	1
Il12b	0.447610735913659	1
Clcn5	-0.190277057430953	1
Clcn3	0.0516070226659851	1
Hif3a	-0.24340411568666	1
Gpx6	-0.00514924469518083	NA
Gpx5	0	1
Pde1c	-0.149639280724321	1
Utp20	-0.260946128176395	1
Spic	0.211545877928678	1
9330159F19Rik	-0.20195401302822	1
Cul3	-0.0208470872580735	1
Sst	0	NA
Il11	-0.479237127343151	1
Large1	-0.150454615784513	1
Ddx56	-0.0258860462971292	1
Tmed4	-0.0841474345602742	1
Col26a1	0.196748146403843	1
Bid	0.0965814333787104	1
Ralb	0.0606431556899995	1
Ppp1cc	0.0781106262890366	1
Dnajb11	0.0257608963314963	1
Tbccd1	0.0927020433287035	1
Clec11a	-0.145399407392437	1
Zfp324	0.163643938317471	1
Gab2	-0.00738060264471404	1
Coro1c	-0.0167192217586098	1
Tax1bp1	0.0628906920912693	1
Psg17	-0.524033604427746	1
Psg19	-0.718644751395163	1
Ctse	0.196310919174658	1
Ndrg2	-0.112156550014147	1
Mettl17	-0.258493384781626	1
Arhgef40	0.0644828761229994	1
Pnpla6	0.134201453102258	1
Mcoln1	0.0759501369618728	1
Arhgef18	0.112005391963015	1
Pkn2	-0.0234668290115697	1
Cd33	0.0187055092612284	1
Etfb	0.120108486300692	1
Nkg7	0.0431385774678242	1
Stxbp2	0.306688370009097	0.964078885356795
Pcp2	-0.433905305072159	1
Sgce	-0.0210324216112097	1
Chn2	0.0383835965433066	1
Wwox	-0.0880113498613246	1
Slbp	0.169996303238653	1
Tyr	0.389165417136905	1
Ghrhr	-0.225554250237067	1
Aqp1	0.0446739677716971	1
Arid3b	-0.029309256901849	1
Cnn2	0.201663528958692	1
Polr2e	0.157096584487857	1
Abca13	0.0183938924960286	1
Myo9b	-0.0977239334658016	1
Hdac9	-0.122045049214719	1
Ly9	0.146523036180418	1
Cd244a	-0.0658276421128215	1
Adgre1	0.148392141506034	1
Mtfp1	0.145172066991105	1
Rab23	-0.097523118924315	1
Rab11a	0.0894780754360843	1
Eif2b2	0.408544846377353	0.964078885356795
Dlst	0.0217098563705015	1
Pgf	-0.0203858456976393	1
Ulk2	-0.180965930232562	1
Ccl24	-0.10501320713572	1
Dgkq	0.137145740304695	1
Tmed11	NA	NA
Grap	0.0545221911711519	1
Pou1f1	0.465251878408498	1
Chmp2b	-0.0732449113510334	1
Plod3	-0.0284358663222988	1
Ap1s1	0.0907495883054679	1
Mapk13	-0.0275674112181616	1
Srpk1	-0.0175260277400343	1
Pax3	-0.660638985877822	1
Lbr	0.094722666776962	1
Crabp2	-0.73582312486143	1
Nes	-0.263476027222384	1
Bcan	-0.303817800644051	1
Hapln2	-0.0143006190759981	1
Prcc	-0.0151651088522179	1
Rrnad1	0.11004038470878	1
Hdgf	0.0786139493239634	1
Slc25a18	0.318561161169925	1
Thop1	0.11750225212725	1
Apba3	0.0595701119819869	1
Matk	0.117117395552204	1
