gene_name	Injured_C57BL_6_1_day_post_injuryvsUninjured_C57BL_6_1_day_post_injury_log2FoldChange	Injured_C57BL_6_1_day_post_injuryvsUninjured_C57BL_6_1_day_post_injury_padj
Pex6	-0.0844089171287499	1
Mrpl2	-0.0311215562813938	1
Mea1	0.0767894571453225	1
Gnmt	-0.056476588693338	1
Grin2d	0.0610850490328312	1
Kdelr1	0.245995103144049	0.712059731781985
Tmem143	0.0314719455437301	1
Pdxk-ps	0.0247489169011059	1
Ggct	0.0509392269696176	1
Jag2	-0.0800364735609995	1
Btbd6	0.115002978004615	1
Nudt14	0.00295605537571527	1
Epdr1	-0.0699858512915592	1
Flii	0.0316340345839218	1
Top3a	-0.266782992412825	0.916978481185556
Atg4d	-0.0355727997165893	1
Qtrt1	-0.199121149647601	1
Plin4	0.0915133163015668	1
Hdgfl2	-0.11034991067377	1
Chaf1a	-0.0724279100946582	1
Adprh	-0.0151748971059378	1
Tmem39a	0.0461302081127044	1
Timmdc1	0.0581806940333016	1
Pla1a	-0.131325626000383	1
Mcm2	-0.102168443690956	1
Tpra1	-0.244590047245894	1
Nab1	0.0206417985252919	1
Adgre5	-0.0484895612122436	1
Il17ra	-0.106207206476465	1
Lamb1	0.46632063945543	0.93807940928151
Kcnn1	-0.0954948012962549	1
Arrdc2	0.0428117138223863	1
Ppp1r17	0	NA
Cd36	0.0856042686764434	1
Map2k7	-0.0577966501115061	1
Timm44	-0.0496414952764134	1
Ap2a2	0.0692893917054688	1
Pnkp	-0.204375749151888	0.874156540032163
Med25	-0.0482846773083755	1
Bcam	0.305132648224568	0.866983184233857
Clptm1	0.0231409894855278	1
Relb	0.381990270984145	0.244327015854765
Tomm40	0.0105584877159785	1
Apoe	0.503705295733682	0.0538641158525109
Apoc2	0.479751768175968	1
Hbp1	-0.000392560989201908	1
Prkar2b	-0.117604285810295	1
Cdkn1b	-0.00867488100430555	1
Klf4	-0.0608538453937417	1
Ap1m1	-0.0881068530630083	1
Rab8a	-0.0268767285624512	1
Hmgn2	-0.15407098574954	1
Fam32a	-0.0935624808709054	1
Elf3	0.711363203562225	1
Cyp2c29	0	1
Stard3nl	0.201895919183631	0.916978481185556
Stk11	-0.00360150743269244	1
Efna2	-0.055524724078508	1
Atp5d	-0.0270658420063183	1
Ppp5c	-0.00238882268435235	1
Cdk12	-0.0865428863571054	1
Lipe	-0.00314225805505425	1
Pafah1b2	0.0996601809950761	1
Tbc1d8	-0.223107094086239	1
Cnot11	0.0528058101276167	1
Slc2a3	-0.18157311585254	1
Foxj2	0.104117318468729	1
Sri	-0.087603031584493	1
Dgcr2	0.17359473215666	0.988959922807311
Irf3	0.114851491162171	1
Bcl2l12	-0.00790392708438576	1
Zfp959	0.016328154412564	1
Mpnd	-0.347461950586671	0.637797475917711
Sh3gl1	0.0856534867200802	1
Ebi3	-0.252826955625947	0.948776231051949
Yju2	-0.161292993016639	0.942461046285186
Ranbp2	-0.099301527000805	0.966499503142853
Edar	-0.285327237146868	1
Grk5	-0.017590457218817	1
Dvl3	0.0521208737283014	1
Abcf3	-0.162486421729888	1
Eif2b5	0.0541489214992639	1
Cyth2	0.170022796474257	1
Sult2b1	0.301354570404137	1
Car11	0.637540078329877	0.718164863424647
Dlgap1	0.199079303949142	1
Plag1	-0.0397903765906574	1
Hck	-0.119426619661476	1
Mrpl4	0.140553139798281	1
Keap1	0.0382545968854624	1
Ap1m2	0.00970890681011425	1
Glg1	-0.0289568299696889	1
Atp8b3	0.781435921753216	1
