gene_name	Injured_MRL_MpJ_1_week_post_injuryvsUninjured_MRL_MpJ_1_week_post_injury_log2FoldChange	Injured_MRL_MpJ_1_week_post_injuryvsUninjured_MRL_MpJ_1_week_post_injury_padj
Adprh	0.0212218307622768	1
Tmem39a	0.113147290865526	1
Timmdc1	-0.322576063305703	0.203129270558556
Pla1a	0.133939555116198	1
Mcm2	0.0685587510195151	1
Tpra1	0.0811054616535607	1
Nab1	-0.0218508875908698	1
Adgre5	0.0609501433353244	1
Il17ra	0.0747940019838441	1
Lamb1	0.65170333900699	0.602706227485953
Kcnn1	0.0327702627642891	1
Arrdc2	0.0457334023975125	1
Ppp1r17	0	NA
Cd36	-0.107002776575229	1
Map2k7	-0.182987863604474	0.967473972833133
Timm44	-0.185604125348129	0.798111587044939
Ap2a2	0.0717107045335195	0.994693344075343
Pnkp	0.182487971709694	0.871941332754878
Med25	0.102751477123534	1
Bcam	-0.139437478520774	1
Clptm1	0.240112146762939	0.889534759054975
Relb	-0.0384162989246626	1
Tomm40	0.20703932840634	1
Apoe	0.294323052790982	0.729158038572529
Apoc2	0.171659210216312	1
Hbp1	0.00895695005342818	1
Prkar2b	0.0393056348915795	1
Cdkn1b	0.00999583820737398	1
Klf4	0.233446329130226	0.871651499844831
Ap1m1	0.155077587155473	0.871651499844831
Rab8a	0.0258996121461165	1
Hmgn2	0.10507370029405	1
Fam32a	0.111492691786741	0.897904867655191
Elf3	0.270597015740767	1
Cyp2c29	0.00752024373084379	1
Stard3nl	-0.140353101389412	1
Stk11	0.0207006500252748	1
Efna2	-0.220306060789051	1
Atp5d	-0.128554452866153	1
Ppp5c	-0.0714260306823256	1
Cdk12	-0.01238814545946	1
Lipe	0.11297365466242	1
Pafah1b2	0.0261389756859462	1
Tbc1d8	0.150104771894898	1
Cnot11	-0.116537473214463	1
Slc2a3	0.156271288626262	1
Foxj2	0.0295048844829952	1
Sri	0.164599488821876	0.873004364884988
Dgcr2	0.0261333995194698	1
Irf3	-0.0461000042986852	1
Bcl2l12	0.100877825298079	1
Zfp959	-0.012150035350351	1
Mpnd	-0.0148539537856301	1
Sh3gl1	0.130190489787464	1
Ebi3	0.151327597992283	1
Yju2	-0.0327491795949325	1
Ranbp2	-0.0391403824414988	1
Edar	0.426856922381863	0.989457419556016
Grk5	-0.035275227593407	1
Dvl3	0.0094815527311526	1
Abcf3	-0.112324735275135	1
Eif2b5	-0.160644482167525	0.72770842002229
Cyth2	-0.162342166936735	0.983612296424594
Sult2b1	-0.546293343363629	1
Car11	-0.25585478298169	1
Dlgap1	-0.0999958673786695	1
Plag1	-0.754064215611649	0.668925063492138
Hck	0.147974078430477	1
Mrpl4	-0.173171905328699	0.900782290183774
Keap1	-0.128991608948106	0.785322895755147
Ap1m2	0.245036296255213	1
Glg1	0.118921254463754	1
Atp8b3	-0.870159933097356	0.889016255128018
Btbd2	0.108732988140968	1
Csnk1g2	0.0437838880893634	1
Abhd17a	0.0786943750785159	1
Mob3a	0.198472026477547	0.798875825438475
Cacnb3	0.106528881225602	1
Ccdc65	-0.875006982825382	0.871131822648486
Fkbp11	0.255716369228919	1
Ddx23	-0.157899852364463	0.871125526951561
Pld3	0.197663883646702	0.889257583554999
Grik5	0.553939803493917	0.869471652874408
Cd79a	0.0393798505129385	1
Rabac1	0.138048067686704	1
Etv3	0.0557570559400016	1
Prkcsh	0.178957900273648	0.71726695716718
Elavl3	0.401446043224016	1
Rab3b	-0.100774121957562	1
St8sia6	-0.0320719389996849	1
Fcgrt	0.119067937223471	0.938172165601604
Nosip	0.199566305739697	0.881089138415516
Pih1d1	0.300224397668971	0.633013021215206
Rps11	0.0616740965564234	1
Supt5	-0.0807726504858851	1
Dll3	-0.042690252891322	1
Paf1	0.085835022958603	1
Timm50	0.343915290236012	0.878217239459623
Med29	-0.00409305267243004	1
Bicd1	-0.0868172234361117	1
Ncstn	0.119855279818394	0.967473972833133
Pex19	-0.204047703785858	0.934031162936843
Phyhip	0.0705442867098067	1
Crhr2	-0.370955247439777	0.988202144727886
Inmt	-0.139887729440904	1
Cyp4f18	-0.0407843486477797	1
Impdh1	0.215234220183301	0.819473573527178
Psg18	NA	NA
Dusp3	-0.324243900005061	0.650857375827699
Prodh	0.0927274942646295	1
Ess2	0.149507155408327	0.9483346987825
Slc25a1	0.0239497409185838	1
Dgcr6	-0.164624780325441	1
Ddr1	0.0602580705280584	1
Ier3	0.0661273273696406	1
Fosb	0.491143165892264	1
Klc4	0.114843502415562	1
Ercc1	-0.248597672668768	1
Cyp17a1	-0.036959491299507	1
As3mt	-0.0104538125251105	1
Homer3	0.125715487469648	1
Crtc1	-0.336487697721903	0.895975154676202
Rnf215	0.171982266458142	0.950934796595307
Sec14l2	-0.144713043128803	1
Aven	-0.182194851721869	1
Cp	0.0482681231543693	1
Crot	-0.136283187997184	0.881089138415516
Rps6ka1	-0.110115006094904	1
Calb2	-0.490967051113343	1
Snrnp200	-0.0863799883054577	1
Ciao1	-0.0480114906803313	1
Has1	1.00213239574441	0.581497075725173
Taf6l	-0.0140445971702061	1
Insig2	-0.128958178350357	1
Kpna6	-0.228767027862209	0.889016255128018
Man1a	0.312752393248316	0.397717500455355
Itpkc	-0.00519299186339723	1
Coq8b	0.396278281586915	0.589399973052612
Brd8	0.117208001619348	1
Kif20a	0.0946256338849033	1
Farsa	0.0584156315138745	1
Gcdh	-0.14403123825103	1
Mast2	-0.00573436318487615	1
Dnase2a	-0.00779009304816611	1
Rad23a	-0.0162566867598711	1
Calr	0.120910766154532	1
Syce2	0.0778985612543044	1
Nfat5	0.127655127436894	0.874245141164647
Nob1	-0.1532335187686	1
Nqo1	-0.333732022094699	0.620875424886508
Ppfia3	-0.786684945683693	0.897904867655191
Gys1	-0.200839096833447	1
Ruvbl2	0.0606839165893765	1
Lin7b	-0.0421602741015815	1
Bax	0.10575809411435	1
Il7r	-0.149208115665751	1
Tfam	-0.0235611091517289	1
Zfp81	0.0286034070171716	1
Efnb3	-0.227072467302168	1
Mmd	0.0892198468683674	1
Hlf	-0.269680996065894	1
Fam162a	-0.140195944740321	0.991312064558155
Rpl8	0.104897853746757	1
Grm3	0	NA
Ssbp2	0.0990942864874299	1
Fancl	0.146839660143963	1
Brinp2	0.0786807591320685	1
Gstm5	-0.0977999050905087	1
Gstm7	-0.526775137031218	0.912071490781483
Gstm3	0	1
Stat3	0.217360087625619	0.772120473896017
Stat5a	0.298557128633801	0.653276604901539
Cavin1	0.226566218531401	0.881818609359074
Map3k11	0.139326026473432	0.990353251345428
Akt2	-0.265899747298429	0.589399973052612
Dnaja3	-0.23990542657661	0.766410743224093
Hmox2	-0.0352953931099943	1
Cdip1	-0.166049757692762	1
Map3k20	-0.286083582204075	0.785314639523543
Cwc15	-0.0878520022601229	0.950953044887828
Col5a3	0.648831441451015	0.598415367829484
Dnmt1	0.147239666152604	1
Ppan	-0.028365479807527	1
Angptl2	0.573742431863908	0.785322895755147
Cacna1e	0.139124720421607	1
Cacna1b	-0.444928088731148	1
Trmt10a	0.114320261725336	1
Etv1	0.10616510937729	1
Kifc2	0.0608084815505372	1
Psap	0.0439121463431707	1
Ikbkg	0.0810686612519266	1
Pax2	0.0809847904954737	1
Wars2	-0.261845293970254	1
Atn1	0.0442272590460631	1
Phb2	-0.061297558620358	1
Ptpn6	0.0136555743758681	1
Eno2	0.380145315995375	0.9483346987825
Emg1	0.0127526886292272	1
Lpcat3	0.139075970647326	0.988672040474392
Atp6v1f	-0.0993684219921566	1
Il12b	-0.0786688618199193	1
Clcn5	0.430137636866338	0.704886222031723
Clcn3	0.0173041269292586	1
Hif3a	0.0926388746277721	1
Gpx6	0.0151249548554656	1
Gpx5	0	1
Pde1c	-0.219933311204169	1
Utp20	0.278037757037851	0.856984257648563
Spic	0.0091500356939969	1
9330159F19Rik	-0.570520525704289	0.492058526095156
Cul3	-0.271354766638546	0.677236530993698
Sst	0.0083756168333324	NA
Il11	0.706487475112666	0.871125526951561
Large1	-0.170076466781011	0.983190010443514
